,AgentStats.Q0_025,AgentStats.Q0_500,AgentStats.Q0_975,Alg,Samples
0,0.013017025074075322,0.013129504831693487,0.01324262204298099,Logging,1000
1,0.013045845878692914,0.01315855977455,0.013271912347139092,Logging,2000
2,0.013034898668055092,0.013147246220526978,0.013260228849627076,Logging,4000
3,0.01300889153448333,0.013121132375239066,0.013234008369991224,Logging,6000
4,0.013026083094996931,0.01313842523016132,0.013251402816184976,Logging,8000
5,0.013019286441734997,0.013131487213179124,0.013244322173405765,Logging,10000
6,0.013061074579405751,0.01317356846059094,0.013286697781407564,Logging,12000
7,0.013132800084863939,0.013245695830466739,0.013359228022708391,Logging,14000
8,0.013152741359370945,0.013265672839103472,0.01337924019269976,Logging,16000
0,0.018110665033507698,0.018243639248910357,0.018377250646612442,Skyline,1000
1,0.018142674721745446,0.018275847684688713,0.018409658587567268,Skyline,2000
2,0.018158076707983674,0.01829088955097827,0.018424336344379122,Skyline,4000
3,0.0180921152622359,0.018224745315186787,0.018358009920919183,Skyline,6000
4,0.018153730414709558,0.018286424694775996,0.01841975194981027,Skyline,8000
5,0.018153546428819858,0.01828636582171672,0.018419819389062897,Skyline,10000
6,0.018186097772716805,0.0183190883160478,0.01845271351078903,Skyline,12000
7,0.018243488198835093,0.01837681926485609,0.018510786190427897,Skyline,14000
8,0.018290555583233514,0.018424030025059417,0.018558140024513947,Skyline,16000
0,0.014647767460917489,0.014767128874096097,0.014887127222299346,Likelihood,1000
1,0.01573175585393225,0.015855666525677065,0.015980215638050188,Likelihood,2000
2,0.01669807659978324,0.016825337658394526,0.016953232584186018,Likelihood,4000
3,0.017004881867322803,0.01713345847876421,0.01726267026388084,Likelihood,6000
4,0.0172377598448272,0.017367066914324783,0.017497007570099754,Likelihood,8000
5,0.017311502574350476,0.01744120602464446,0.01757154419053364,Likelihood,10000
6,0.017433091590048487,0.017563277654747037,0.017694098630310906,Likelihood,12000
7,0.017546418866102545,0.01767711640936809,0.017808449654211245,Likelihood,14000
8,0.017596068729015014,0.017726937631499143,0.017858442075540548,Likelihood,16000
0,0.013338131368492406,0.013451973246808554,0.013566452198039092,IPS Likelihood,1000
