,AgentStats.Q0_025,AgentStats.Q0_500,AgentStats.Q0_975,Alg,Samples
0,0.01063791091483487,0.010739555753320723,0.010841838963465356,Logging,1000
1,0.010614091656190766,0.01071568732172731,0.010817922184541029,Logging,2000
2,0.01054828762321277,0.010649254399029123,0.010750856464769365,Logging,4000
3,0.010569975075757196,0.010671067236842942,0.01077279494856409,Logging,6000
4,0.010524947997938383,0.010625853421646592,0.010727394783590194,Logging,8000
5,0.01053390617852282,0.010634791629990346,0.010736312223320721,Logging,10000
6,0.010568391333167705,0.010669608915872937,0.0107714637210099,Logging,12000
7,0.010585990076287664,0.010687261222284626,0.01078916919528805,Logging,14000
8,0.010630069763331775,0.010731373231337223,0.01083331126957865,Logging,16000
0,0.02229854977228825,0.022446639649935946,0.02259536865981282,Skyline,1000
1,0.022374737233107928,0.022523091547751527,0.022672085046888002,Skyline,2000
2,0.022353595926796737,0.022501468248585198,0.022649976224275226,Skyline,4000
3,0.022292770587016644,0.022440374498440063,0.02258861352800068,Skyline,6000
4,0.022315425964609767,0.022462922117018697,0.022611051806257,Skyline,8000
5,0.0223116029101406,0.022459252885383973,0.022607537826498825,Skyline,10000
6,0.022328256620322628,0.022475960674699532,0.022624299676615278,Skyline,12000
7,0.022326105663877976,0.022473865091763523,0.022622260003093086,Skyline,14000
8,0.02242347440028737,0.022571545338321054,0.022720251608252084,Skyline,16000
0,0.012342065914453835,0.012451632676760943,0.012561837782809282,Likelihood,1000
1,0.013987130704572182,0.01410395613169301,0.014221420935486173,Likelihood,2000
2,0.01442883381932005,0.014547166875546797,0.014666135572734773,Likelihood,4000
3,0.014936810942258676,0.01505726557085041,0.015178356127516612,Likelihood,6000
4,0.016719178597279595,0.016846536764367172,0.016974528952458767,Likelihood,8000
5,0.017502504287316936,0.017632904368976247,0.017763938881192542,Likelihood,10000
6,0.017885609011164698,0.018017626491883154,0.018150280064764046,Likelihood,12000
7,0.018094370406940327,0.018227198701484294,0.018360663364312413,Likelihood,14000
8,0.018323422618860198,0.01845697802687674,0.018591168602354657,Likelihood,16000
0,0.01411181967905612,0.014229056876106264,0.014346932202480955,IPS Likelihood,1000
1,0.013383591461033708,0.013497766333164886,0.013612579804060276,IPS Likelihood,2000
2,0.01240463487785986,0.012514177126097157,0.012624354183324416,IPS Likelihood,4000
3,0.01438260601282656,0.014500824120727594,0.014619678699791416,IPS Likelihood,6000
4,0.014075904383099858,0.014192680387970448,0.014310091151817361,IPS Likelihood,8000
5,0.013554453836225635,0.013668910736151564,0.013784001208916874,IPS Likelihood,10000
6,0.013290377896365394,0.013404006225161566,0.013518271548195071,IPS Likelihood,12000
7,0.014862803301292766,0.01498307134335703,0.015103976543543451,IPS Likelihood,14000
8,0.015755477199302446,0.015879207187251117,0.016003572786930653,IPS Likelihood,16000
0,0.015118517537692746,0.015239894088494289,0.015361908461721141,Contextual Bandit - no log,1000
1,0.015331214054926382,0.01545353773322222,0.01557650010830125,Contextual Bandit - no log,2000
2,0.017243918455905043,0.017373392348374227,0.01750350123158173,Contextual Bandit - no log,4000
3,0.014589169864458334,0.014708208020899335,0.014827882248729662,Contextual Bandit - no log,6000
4,0.01570867346875047,0.015832074904580055,0.015956110496658127,Contextual Bandit - no log,8000
5,0.01738242576108758,0.017512471259016952,0.017643152172680976,Contextual Bandit - no log,10000
6,0.01787169525320867,0.018003560767276924,0.018136061413921323,Contextual Bandit - no log,12000
7,0.018461359812940212,0.018595600907543045,0.018730478823274277,Contextual Bandit - no log,14000
8,0.017962001081823033,0.018094219554064483,0.018227073297191865,Contextual Bandit - no log,16000
0,0.01261995689080631,0.012730723707452945,0.01284212839730725,Contextual Bandit - with log,1000
1,0.012189513015501256,0.012298433414536646,0.01240799263147696,Contextual Bandit - with log,2000
2,0.012873940069473903,0.012985536258243975,0.01309776698840126,Contextual Bandit - with log,4000
3,0.01323065631415939,0.013343936178618171,0.013457852032814688,Contextual Bandit - with log,6000
4,0.01328906184164332,0.013402469331094012,0.013516511409482401,Contextual Bandit - with log,8000
5,0.013664886521639264,0.013779873129660187,0.01389549395300882,Contextual Bandit - with log,10000
6,0.013867030245305324,0.013983014848217538,0.01409963519391677,Contextual Bandit - with log,12000
7,0.014623646335118052,0.014742840741054742,0.014862671363682467,Contextual Bandit - with log,14000
8,0.01519293404680779,0.015314448139518475,0.015436598326400541,Contextual Bandit - with log,16000
0,0.014092053488919863,0.014209122353124977,0.014326828420758497,POEM (lambda = 0.1 - no log),1000
1,0.014895540478384662,0.015016112914491292,0.015137324308508782,POEM (lambda = 0.1 - no log),2000
2,0.017047232300125618,0.017175950964956534,0.0173053045972672,POEM (lambda = 0.1 - no log),4000
3,0.01809519383905982,0.01822797527466939,0.018361392599871795,POEM (lambda = 0.1 - no log),6000
4,0.011680092897611285,0.01178634483311462,0.01189323148637822,POEM (lambda = 0.1 - no log),8000
5,0.01748004084975558,0.01761046416973032,0.01774152297415499,POEM (lambda = 0.1 - no log),10000
6,0.01782132274754074,0.0179529012576084,0.018085113959225185,POEM (lambda = 0.1 - no log),12000
7,0.016574633289643998,0.016701675909134503,0.01682935500218785,POEM (lambda = 0.1 - no log),14000
8,0.018093164779469498,0.018225891873559844,0.0183592544112523,POEM (lambda = 0.1 - no log),16000
0,0.01281559878738251,0.012927234941814417,0.013039509013604844,POEM (lambda = 0.5 - with log),1000
1,0.012478812202831601,0.01258902671643528,0.012699879983048667,POEM (lambda = 0.5 - with log),2000
2,0.012924411693692347,0.01303623010661415,0.013148683071094958,POEM (lambda = 0.5 - with log),4000
3,0.013125489841766131,0.013238294745769512,0.013351735433372536,POEM (lambda = 0.5 - with log),6000
4,0.013007668139454913,0.013119813144131251,0.013232592279411093,POEM (lambda = 0.5 - with log),8000
5,0.013678152334828352,0.013793152589988228,0.013908786589583721,POEM (lambda = 0.5 - with log),10000
6,0.013853730597816707,0.013969705964672244,0.014086317589615205,POEM (lambda = 0.5 - with log),12000
7,0.014645958447941759,0.014765261524372152,0.014885200992518777,POEM (lambda = 0.5 - with log),14000
8,0.015119514820227707,0.015240732019612015,0.015362585327692413,POEM (lambda = 0.5 - with log),16000
